E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2
;;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas;Nuevas
;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
13. Puente de Vallecas;13. Puente de Vallecas;"3.520,66";"3.647,39";"3.154,33";"2.479,08";"2.358,57";"1.854,64";"1.403,8";"1.370,9";"1.331,88";"1.273,55";"1.365,67";"1.617,61";"1.826,79";"1.888,57";"1.859,65";"2.196,98";"2.181,35";"2.463,26"
13. Puente de Vallecas;131. Entrevías;-;-;-;-;-;-;-;-;-;"1.123,87";"1.165,69";"1.453,86";"1.692,83";"1.559,26";"1.704,96";"1.761,14";"1.942,03";"2.155,32"
13. Puente de Vallecas;132. San Diego;-;-;-;-;-;-;-;-;-;"1.239,07";"1.407,87";"1.637,47";"1.874,6";"1.822,36";"1.868,34";"2.077,4";"2.424,44";"2.629,51"
13. Puente de Vallecas;133. Palomeras Bajas;-;-;-;-;-;-;-;-;-;"1.315,91";"1.529,72";"1.840,48";"1.884,46";"1.962,93";"1.901,85";"2.072,97";"1.928,7";"2.387,19"
13. Puente de Vallecas;134. Palomeras Sureste;-;-;-;-;-;-;-;-;-;"1.227,77";"1.251,09";"1.710,6";"1.668,94";"1.779,87";"1.999,01";"2.745,61";"2.506,02";"2.310,02"
13. Puente de Vallecas;135. Portazgo;-;-;-;-;-;-;-;-;-;"1.178,3";"1.273,72";"1.518,38";"1.825,04";"1.855,75";"1.858,79";"2.134,75";"1.990,73";"2.103,77"
13. Puente de Vallecas;136. Numancia;-;-;-;-;-;-;-;-;-;1.529;"1.527,36";"1.659,02";"1.972,02";"2.486,26";"1.867,47";2.222;"1.999,76";"3.159,85"
;
;
"Fuente: Colegio de Registradores de la Propiedad, Bienes Muebles y Mercantiles de España"
"Observaciones: Tasa de cobertura:  La información recoge 96,8% de las transmisiones de 2007;97,6% de 2008;98,1% de 2009;96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;98,1% de 2009; 96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;96,1% de 2015;97,3% de 2016;97,1% de 2017;98,0% de 2018; 98,4% de 2019; 95,3% de 2020;95,6% del 2021,97,5% de 2022;97,5 de 2023 y 97,7 de 2024 (compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios.
Para evitar ofrecer dar datos poco significativos, sólo se muestra el dato por barrio cuando se dispone de un número mínimo de 15 casos para calcular la media; sin embargo el dato de distrito siempre recoge todos los casos."
