distrito,year,price_m2_total,price_m2_nuevas,price_m2_usadas
Puente de Vallecas,2007,3282.45,3520.66,3256.39
Entrevías,2007,0.0,0.0,0.0
San Diego,2007,0.0,0.0,0.0
Palomeras Bajas,2007,0.0,0.0,0.0
Palomeras Sureste,2007,0.0,0.0,0.0
Portazgo,2007,0.0,0.0,0.0
Numancia,2007,0.0,0.0,0.0
Puente de Vallecas,2008,3047.62,3647.39,2880.98
Entrevías,2008,0.0,0.0,0.0
San Diego,2008,0.0,0.0,0.0
Palomeras Bajas,2008,0.0,0.0,0.0
Palomeras Sureste,2008,0.0,0.0,0.0
Portazgo,2008,0.0,0.0,0.0
Numancia,2008,0.0,0.0,0.0
Puente de Vallecas,2009,2537.32,3154.33,2246.55
Entrevías,2009,0.0,0.0,0.0
San Diego,2009,0.0,0.0,0.0
Palomeras Bajas,2009,0.0,0.0,0.0
Palomeras Sureste,2009,0.0,0.0,0.0
Portazgo,2009,0.0,0.0,0.0
Numancia,2009,0.0,0.0,0.0
Puente de Vallecas,2010,2349.45,2479.08,2238.65
Entrevías,2010,0.0,0.0,0.0
San Diego,2010,0.0,0.0,0.0
Palomeras Bajas,2010,0.0,0.0,0.0
Palomeras Sureste,2010,0.0,0.0,0.0
Portazgo,2010,0.0,0.0,0.0
Numancia,2010,0.0,0.0,0.0
Puente de Vallecas,2011,2235.54,2358.57,2065.33
Entrevías,2011,0.0,0.0,0.0
San Diego,2011,0.0,0.0,0.0
Palomeras Bajas,2011,0.0,0.0,0.0
Palomeras Sureste,2011,0.0,0.0,0.0
Portazgo,2011,0.0,0.0,0.0
Numancia,2011,0.0,0.0,0.0
Puente de Vallecas,2012,1767.23,1854.64,1653.73
Entrevías,2012,0.0,0.0,0.0
San Diego,2012,0.0,0.0,0.0
Palomeras Bajas,2012,0.0,0.0,0.0
Palomeras Sureste,2012,0.0,0.0,0.0
Portazgo,2012,0.0,0.0,0.0
Numancia,2012,0.0,0.0,0.0
Puente de Vallecas,2013,1378.7,1403.8,1350.26
Entrevías,2013,0.0,0.0,0.0
San Diego,2013,0.0,0.0,0.0
Palomeras Bajas,2013,0.0,0.0,0.0
Palomeras Sureste,2013,0.0,0.0,0.0
Portazgo,2013,0.0,0.0,0.0
Numancia,2013,0.0,0.0,0.0
Puente de Vallecas,2014,1307.4,1370.9,1225.4
Entrevías,2014,0.0,0.0,0.0
San Diego,2014,0.0,0.0,0.0
Palomeras Bajas,2014,0.0,0.0,0.0
Palomeras Sureste,2014,0.0,0.0,0.0
Portazgo,2014,0.0,0.0,0.0
Numancia,2014,0.0,0.0,0.0
Puente de Vallecas,2015,1252.73,1331.88,1206.13
Entrevías,2015,0.0,0.0,0.0
San Diego,2015,0.0,0.0,0.0
Palomeras Bajas,2015,0.0,0.0,0.0
Palomeras Sureste,2015,0.0,0.0,0.0
Portazgo,2015,0.0,0.0,0.0
Numancia,2015,0.0,0.0,0.0
Puente de Vallecas,2016,1306.74,1273.55,1320.89
Entrevías,2016,1132.85,1123.87,1144.19
San Diego,2016,1295.09,1239.07,1331.9
Palomeras Bajas,2016,1337.43,1315.91,1343.36
Palomeras Sureste,2016,1243.79,1227.77,1247.72
Portazgo,2016,1229.46,1178.3,1246.38
Numancia,2016,1455.28,1529.0,1433.89
Puente de Vallecas,2017,1412.75,1365.67,1428.32
Entrevías,2017,1207.88,1165.69,1242.04
San Diego,2017,1468.96,1407.87,1505.35
Palomeras Bajas,2017,1512.37,1529.72,1508.26
Palomeras Sureste,2017,1310.56,1251.09,1321.75
Portazgo,2017,1339.35,1273.72,1353.25
Numancia,2017,1509.27,1527.36,1505.29
Puente de Vallecas,2018,1637.04,1617.61,1644.77
Entrevías,2018,1386.87,1453.86,1310.91
San Diego,2018,1652.3,1637.47,1659.41
Palomeras Bajas,2018,1761.74,1840.48,1743.54
Palomeras Sureste,2018,1592.74,1710.6,1545.79
Portazgo,2018,1560.24,1518.38,1573.61
Numancia,2018,1756.26,1659.02,1777.46
Puente de Vallecas,2019,1841.52,1826.79,1846.07
Entrevías,2019,1660.4,1692.83,1634.26
San Diego,2019,1930.5,1874.6,1960.52
Palomeras Bajas,2019,1870.45,1884.46,1867.3
Palomeras Sureste,2019,1648.98,1668.94,1645.75
Portazgo,2019,1773.79,1825.04,1757.68
Numancia,2019,2003.37,1972.02,2008.42
Puente de Vallecas,2020,1908.39,1888.57,1914.69
Entrevías,2020,1712.29,1559.26,1835.46
San Diego,2020,1953.47,1822.36,2022.03
Palomeras Bajas,2020,1963.09,1962.93,1963.13
Palomeras Sureste,2020,1748.82,1779.87,1743.52
Portazgo,2020,1792.21,1855.75,1778.4
Numancia,2020,2106.4,2486.26,2023.55
Puente de Vallecas,2021,1908.5,1859.65,1925.15
Entrevías,2021,1735.19,1704.96,1765.16
San Diego,2021,2014.65,1868.34,2070.82
Palomeras Bajas,2021,1995.5,1901.85,2016.56
Palomeras Sureste,2021,1832.09,1999.01,1760.26
Portazgo,2021,1827.73,1858.79,1823.12
Numancia,2021,1933.99,1867.47,1944.2
Puente de Vallecas,2022,2110.69,2196.98,2081.79
Entrevías,2022,1826.99,1761.14,1884.6
San Diego,2022,2143.48,2077.4,2172.96
Palomeras Bajas,2022,2128.24,2072.97,2138.83
Palomeras Sureste,2022,2148.95,2745.61,1850.62
Portazgo,2022,2061.83,2134.75,2053.84
Numancia,2022,2194.78,2222.0,2191.41
Puente de Vallecas,2023,2146.86,2181.35,2136.7
Entrevías,2023,1963.83,1942.03,1984.68
San Diego,2023,2278.05,2424.44,2206.35
Palomeras Bajas,2023,2200.42,1928.7,2247.1
Palomeras Sureste,2023,1994.56,2506.02,1937.92
Portazgo,2023,2039.79,1990.73,2048.91
Numancia,2023,2232.74,1999.76,2261.13
Puente de Vallecas,2024,2444.16,2463.26,2439.69
Entrevías,2024,2138.82,2155.32,2125.59
San Diego,2024,2508.13,2629.51,2452.35
Palomeras Bajas,2024,2487.89,2387.19,2503.51
Palomeras Sureste,2024,2245.45,2310.02,2239.13
Portazgo,2024,2313.93,2103.77,2344.09
Numancia,2024,2730.31,3159.85,2693.13
