E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2;Euros/m2
;;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
13. Puente de Vallecas;13. Puente de Vallecas;"3.282,45";"3.047,62";"2.537,32";"2.349,45";"2.235,54";"1.767,23";"1.378,7";"1.307,4";"1.252,73";"1.306,74";"1.412,75";"1.637,04";"1.841,52";"1.908,39";"1.908,5";"2.110,69";"2.146,86";"2.444,16"
13. Puente de Vallecas;131. Entrevías;-;-;-;-;-;-;-;-;-;"1.132,85";"1.207,88";"1.386,87";"1.660,4";"1.712,29";"1.735,19";"1.826,99";"1.963,83";"2.138,82"
13. Puente de Vallecas;132. San Diego;-;-;-;-;-;-;-;-;-;"1.295,09";"1.468,96";"1.652,3";"1.930,5";"1.953,47";"2.014,65";"2.143,48";"2.278,05";"2.508,13"
13. Puente de Vallecas;133. Palomeras Bajas;-;-;-;-;-;-;-;-;-;"1.337,43";"1.512,37";"1.761,74";"1.870,45";"1.963,09";"1.995,5";"2.128,24";"2.200,42";"2.487,89"
13. Puente de Vallecas;134. Palomeras Sureste;-;-;-;-;-;-;-;-;-;"1.243,79";"1.310,56";"1.592,74";"1.648,98";"1.748,82";"1.832,09";"2.148,95";"1.994,56";"2.245,45"
13. Puente de Vallecas;135. Portazgo;-;-;-;-;-;-;-;-;-;"1.229,46";"1.339,35";"1.560,24";"1.773,79";"1.792,21";"1.827,73";"2.061,83";"2.039,79";"2.313,93"
13. Puente de Vallecas;136. Numancia;-;-;-;-;-;-;-;-;-;"1.455,28";"1.509,27";"1.756,26";"2.003,37";"2.106,4";"1.933,99";"2.194,78";"2.232,74";"2.730,31"
;
;
"Fuente: Colegio de Registradores de la Propiedad, Bienes Muebles y Mercantiles de España"
"Observaciones: Tasa de cobertura:  La información recoge 96,8% de las transmisiones de 2007;97,6% de 2008;98,1% de 2009;96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;98,1% de 2009; 96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;96,1% de 2015;97,3% de 2016;97,1% de 2017;98,0% de 2018; 98,4% de 2019; 95,3% de 2020;95,6% del 2021,97,5% de 2022;97,5 de 2023 y 97,7 de 2024 (compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios.
Para evitar ofrecer dar datos poco significativos, sólo se muestra el dato por barrio cuando se dispone de un número mínimo de 15 casos para calcular la media; sin embargo el dato de distrito siempre recoge todos los casos."
